Do you drive yourself or use a driver?,Do you attend on Sunday?,When you arrive to the campus on Sunday?,When you leave the campus on Sunday?,Do you attend on Monday?,When you arrive to the campus on Monday?,When you leave the campus on Monday?,Do you attend on Tuesday?,When you arrive to the campus on Tuesday?,When you leave the campus on Tuesday?,Parking Challenge Time,How satisfied are you with the availability of parking spaces on campus?,Provide any additional comments if you wish,Do you attend on Wednesday?,When you arrive to the campus on Wednesday?,When you leave the campus on Wednesday?,Do you attend on Thursday?,When you arrive to the campus on Thursday?,When you leave the campus on Thursday?
Both.,Yes.,9:00 AM,2:00 PM,Yes.,8:00 AM,2:00 PM,Yes.,9:00 AM,12:00 PM,09:00 AM,1,,Yes.,8:00 AM,12:00 PM,Yes.,9:00 AM,12:00 PM
Both.,Yes.,6:30 AM,1:00 PM,Yes.,10:00 AM,2:30 PM,Yes.,7:30 AM,2:00 PM,10:00 AM,1,,Yes.,10:00 AM,12:00 PM,Yes.,7:30 AM,3:00 PM
Drive yourself.,Yes.,8:00 AM,12:00 PM,Yes.,12:30 PM,3:00 PM,Yes.,8:00 AM,3:00 PM,08:00 AM,1,We would like to request additional parking spots as well as the installation of parking shades to provide better protection for vehicles.,Yes.,11:30 AM,1:00 PM,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,Yes.,8:00 AM,3:00 PM,Yes.,8:00 AM,11:00 AM,09:00 AM,1,المواقف عند صالة ٣ جدا جدا قليلة وإذا أتيت إلى الجامعة بعد الساعة ٨:٠٠ احلم تلقى موقف,Yes.,9:00 AM,3:00 PM,Yes.,8:00 AM,11:00 AM
Both.,Yes.,8:00 AM,12:00 PM,No.,,,Yes.,8:00 AM,12:00 PM,07:50 AM,2,,Yes.,8:30 AM,12:30 PM,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,9:00 AM,12:00 PM,Yes.,8:00 AM,12:00 PM,Yes.,9:00 AM,12:00 PM,08:15 AM,1,"The parking layout is a mess. The lots are way too wide, and there are big, random spaces where people end up getting fined!",Yes.,8:00 AM,12:00 PM,Yes.,9:00 AM,12:00 PM
Drive yourself.,Yes.,7:30 AM,1:00 PM,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,12:00 PM,07:30 AM,1,,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,12:00 PM
Drive yourself.,Yes.,10:00 AM,2:00 PM,No.,,,Yes.,10:00 AM,2:00 PM,10:00 AM,1,,Yes.,8:00 AM,12:00 PM,Yes.,10:00 AM,3:00 PM
Driver.,Yes.,10:00 AM,1:00 PM,No.,,,Yes.,10:00 AM,1:00 PM,10:00 AM,1,,No.,,,Yes.,10:00 AM,4:00 PM
Drive yourself.,Yes.,8:30 AM,3:00 PM,Yes.,7:30 AM,2:00 PM,Yes.,8:30 AM,12:00 PM,08:30 AM,1,,No.,,,Yes.,7:30 AM,3:00 PM
